timestamp,production,consumption,battery_charge,battery_discharge,grid_feedin,grid_consumption,battery_state_of_charge,direct_consumption
2022-01-01T00:00:00+01:00,2,2754,6,0,0,2758.0,0,2
2022-01-01T03:00:00+01:00,1,2053,6,0,0,2058.0,0,1
2022-01-01T06:00:00+01:00,194,2109,63,0,0,1978.0,0,194
2022-01-01T09:00:00+01:00,3144,2663,1609,299,0,829.0,12,2663
2022-01-01T12:00:00+01:00,2549,1710,1096,246,0,11.0,46,1710
2022-01-01T15:00:00+01:00,339,1896,140,1494,0,203.0,41,339
2022-01-01T18:00:00+01:00,0,3343,4,418,0,2929.0,1,0
2022-01-01T21:00:00+01:00,1,2372,6,0,0,2377.0,0,1
2022-01-02T00:00:00+01:00,2,1408,6,0,0,1412.0,0,2
2022-01-02T03:00:00+01:00,2,1914,6,0,0,1918.0,0,2
2022-01-02T06:00:00+01:00,118,2585,12,0,0,2479.0,0,118
2022-01-02T09:00:00+01:00,1468,2161,459,354,0,798.0,1,1468
2022-01-02T12:00:00+01:00,969,2513,326,243,0,1627.0,2,969
2022-01-02T15:00:00+01:00,188,2298,6,28,0,2088.0,0,188
2022-01-02T18:00:00+01:00,1,3274,6,0,0,3279.0,0,1
2022-01-02T21:00:00+01:00,1,1924,6,0,0,1929.0,0,1
2022-01-03T00:00:00+01:00,1,726,6,0,0,731.0,0,1
2022-01-03T03:00:00+01:00,1,1752,6,0,0,1757.0,0,1
2022-01-03T06:00:00+01:00,8,1852,6,0,0,1850.0,0,8
2022-01-03T09:00:00+01:00,426,1520,68,0,0,1162.0,0,426
2022-01-03T12:00:00+01:00,812,1644,237,193,0,876.0,1,812
2022-01-03T15:00:00+01:00,183,1413,12,0,0,1242.0,0,183
2022-01-03T18:00:00+01:00,0,1963,6,0,0,1969.0,0,0
2022-01-03T21:00:00+01:00,1,1359,6,0,0,1364.0,0,1
2022-01-04T00:00:00+01:00,2,2167,6,0,0,2171.0,0,2
2022-01-04T03:00:00+01:00,4,1821,6,0,0,1823.0,0,4
2022-01-04T06:00:00+01:00,2,2180,6,0,0,2184.0,0,2
2022-01-04T09:00:00+01:00,244,1308,41,0,0,1105.0,0,244
2022-01-04T12:00:00+01:00,940,601,575,233,0,3.0,6,601
2022-01-04T15:00:00+01:00,149,958,62,285,0,586.0,7,149
2022-01-04T18:00:00+01:00,0,1451,6,0,0,1457.0,0,0
2022-01-04T21:00:00+01:00,2,1017,6,0,0,1021.0,0,2
2022-01-05T00:00:00+01:00,2,2619,6,0,0,2623.0,0,2
2022-01-05T03:00:00+01:00,4,1834,6,0,0,1836.0,0,4
2022-01-05T06:00:00+01:00,1,2627,6,0,0,2632.0,0,1
2022-01-05T09:00:00+01:00,117,1625,7,0,0,1515.0,0,117
2022-01-05T12:00:00+01:00,409,2371,80,8,0,2034.0,0,409
2022-01-05T15:00:00+01:00,96,2758,7,0,0,2669.0,0,96
2022-01-05T18:00:00+01:00,0,3082,6,0,0,3088.0,0,0
2022-01-05T21:00:00+01:00,2,2222,6,0,0,2226.0,0,2
2022-01-06T00:00:00+01:00,3,2758,6,0,0,2761.0,0,3
2022-01-06T03:00:00+01:00,3,2596,6,0,0,2599.0,0,3
2022-01-06T06:00:00+01:00,1,3203,6,0,0,3208.0,0,1
2022-01-06T09:00:00+01:00,90,1530,7,0,0,1447.0,0,90
2022-01-06T12:00:00+01:00,416,2642,31,0,0,2257.0,0,416
2022-01-06T15:00:00+01:00,63,2454,7,0,0,2398.0,0,63
2022-01-06T18:00:00+01:00,0,2693,6,0,0,2699.0,0,0
2022-01-06T21:00:00+01:00,0,1585,6,0,0,1591.0,0,0
2022-01-07T00:00:00+01:00,1,3897,6,0,0,3902.0,0,1
2022-01-07T03:00:00+01:00,2,3071,6,0,0,3075.0,0,2
2022-01-07T06:00:00+01:00,39,2847,100,1,0,2907.0,0,39
2022-01-07T09:00:00+01:00,868,1837,255,59,0,1165.0,2,868
2022-01-07T12:00:00+01:00,807,2670,85,193,0,1755.0,1,807
2022-01-07T15:00:00+01:00,72,1627,14,9,0,1560.0,0,72
2022-01-07T18:00:00+01:00,0,2628,6,0,0,2634.0,0,0
2022-01-07T21:00:00+01:00,1,1731,6,0,0,1736.0,0,1
2022-01-08T00:00:00+01:00,2,2755,6,0,0,2759.0,0,2
2022-01-08T03:00:00+01:00,3,2146,6,0,0,2149.0,0,3
2022-01-08T06:00:00+01:00,1,2292,6,0,0,2297.0,0,1
2022-01-08T09:00:00+01:00,829,2056,372,4,0,1595.0,2,829
2022-01-08T12:00:00+01:00,1421,2873,297,486,0,1263.0,3,1421
2022-01-08T15:00:00+01:00,90,2631,7,0,0,2548.0,0,90
2022-01-08T18:00:00+01:00,1,2833,6,0,0,2838.0,0,1
2022-01-08T21:00:00+01:00,1,2602,7,0,0,2608.0,0,1
2022-01-09T00:00:00+01:00,2,1433,7,0,0,1438.0,0,2
2022-01-09T03:00:00+01:00,2,1265,6,0,0,1269.0,0,2
2022-01-09T06:00:00+01:00,2,2007,6,0,0,2011.0,0,2
2022-01-09T09:00:00+01:00,837,2091,380,31,0,1603.0,1,837
2022-01-09T12:00:00+01:00,1876,2485,520,689,0,440.0,5,1876
2022-01-09T15:00:00+01:00,138,2830,9,10,0,2691.0,0,138
2022-01-09T18:00:00+01:00,1,2693,6,0,0,2698.0,0,1
2022-01-09T21:00:00+01:00,1,2364,6,0,0,2369.0,0,1
2022-01-10T00:00:00+01:00,2,1387,6,0,0,1391.0,0,2
2022-01-10T03:00:00+01:00,3,1916,6,0,0,1919.0,0,3
2022-01-10T06:00:00+01:00,1,2704,6,0,0,2709.0,0,1
2022-01-10T09:00:00+01:00,100,1522,8,0,0,1430.0,0,100
2022-01-10T12:00:00+01:00,308,2413,7,0,0,2112.0,0,308
2022-01-10T15:00:00+01:00,82,2494,6,0,0,2418.0,0,82
2022-01-10T18:00:00+01:00,0,2428,6,0,0,2434.0,0,0
2022-01-10T21:00:00+01:00,1,2291,98,0,0,2388.0,0,1
2022-01-11T00:00:00+01:00,4,2707,6,0,0,2709.0,0,4
2022-01-11T03:00:00+01:00,3,2350,6,0,0,2353.0,0,3
2022-01-11T06:00:00+01:00,113,3138,43,0,0,3068.0,0,113
2022-01-11T09:00:00+01:00,2789,1378,1587,196,20.0,0,12,1378
2022-01-11T12:00:00+01:00,2604,2836,604,757,0,79.0,42,2604
2022-01-11T15:00:00+01:00,106,2698,3,905,0,1690.0,5,106
2022-01-11T18:00:00+01:00,0,2384,6,0,0,2390.0,0,0
2022-01-11T21:00:00+01:00,1,2027,6,0,0,2032.0,0,1
2022-01-12T00:00:00+01:00,2,3482,6,0,0,3486.0,0,2
2022-01-12T03:00:00+01:00,3,3485,6,0,0,3488.0,0,3
2022-01-12T06:00:00+01:00,219,3306,86,0,0,3173.0,0,219
2022-01-12T09:00:00+01:00,3332,2021,1444,172,39.0,0,16,2021
2022-01-12T12:00:00+01:00,3139,3145,687,615,0,78.0,48,3139
2022-01-12T15:00:00+01:00,393,2412,175,1201,0,993.0,19,393
2022-01-12T18:00:00+01:00,0,3570,6,0,0,3576.0,0,0
2022-01-12T21:00:00+01:00,1,2194,6,0,0,2199.0,0,1
2022-01-13T00:00:00+01:00,2,3868,6,0,0,3872.0,0,2
2022-01-13T03:00:00+01:00,3,3004,6,0,0,3007.0,0,3
2022-01-13T06:00:00+01:00,199,3623,6,0,0,3430.0,0,199
2022-01-13T09:00:00+01:00,3371,2306,1521,209,0,247.0,15,2306
2022-01-13T12:00:00+01:00,3010,2748,738,471,0,5.0,46,2748
2022-01-13T15:00:00+01:00,419,1990,252,1421,0,402.0,29,419
2022-01-13T18:00:00+01:00,0,2553,6,4,0,2555.0,0,0
2022-01-13T21:00:00+01:00,1,2527,6,0,0,2532.0,0,1
2022-01-14T00:00:00+01:00,3,3023,6,0,0,3026.0,0,3
2022-01-14T03:00:00+01:00,3,3251,6,0,0,3254.0,0,3
2022-01-14T06:00:00+01:00,141,3292,86,0,0,3237.0,0,141
2022-01-14T09:00:00+01:00,3103,2677,1280,105,0,749.0,13,2677
2022-01-14T12:00:00+01:00,2844,2425,1076,647,0,10.0,40,2425
2022-01-14T15:00:00+01:00,356,2491,52,1336,0,851.0,23,356
2022-01-14T18:00:00+01:00,0,2283,6,0,0,2289.0,0,0
2022-01-14T21:00:00+01:00,1,2221,6,0,0,2226.0,0,1
2022-01-15T00:00:00+01:00,2,3255,6,0,0,3259.0,0,2
2022-01-15T03:00:00+01:00,2,2457,6,0,0,2461.0,0,2
2022-01-15T06:00:00+01:00,30,3300,6,0,0,3276.0,0,30
2022-01-15T09:00:00+01:00,538,2312,76,12,0,1838.0,0,538
2022-01-15T12:00:00+01:00,559,2797,96,80,0,2254.0,1,559
2022-01-15T15:00:00+01:00,45,2178,6,0,0,2139.0,0,45
2022-01-15T18:00:00+01:00,1,2652,6,0,0,2657.0,0,1
2022-01-15T21:00:00+01:00,1,2494,6,0,0,2499.0,0,1
2022-01-16T00:00:00+01:00,2,2614,6,0,0,2618.0,0,2
2022-01-16T03:00:00+01:00,3,2320,6,0,0,2323.0,0,3
2022-01-16T06:00:00+01:00,15,2191,7,0,0,2183.0,0,15
2022-01-16T09:00:00+01:00,558,4080,204,37,0,3689.0,0,558
2022-01-16T12:00:00+01:00,1677,2585,578,212,0,1274.0,5,1677
2022-01-16T15:00:00+01:00,323,2564,27,330,0,1938.0,1,323
2022-01-16T18:00:00+01:00,0,3410,6,0,0,3416.0,0,0
2022-01-16T21:00:00+01:00,1,2518,6,0,0,2523.0,0,1
2022-01-17T00:00:00+01:00,2,1875,6,0,0,1879.0,0,2
2022-01-17T03:00:00+01:00,3,1623,6,0,0,1626.0,0,3
2022-01-17T06:00:00+01:00,2,2925,6,0,0,2929.0,0,2
2022-01-17T09:00:00+01:00,482,1998,55,29,0,1542.0,0,482
2022-01-17T12:00:00+01:00,1470,2308,304,244,0,898.0,1,1470
2022-01-17T15:00:00+01:00,290,2574,11,1,0,2294.0,0,290
2022-01-17T18:00:00+01:00,0,1511,6,0,0,1517.0,0,0
2022-01-17T21:00:00+01:00,3,1310,6,0,0,1313.0,0,3
2022-01-18T00:00:00+01:00,4,3393,6,0,0,3395.0,0,4
2022-01-18T03:00:00+01:00,4,2907,6,0,0,2909.0,0,4
2022-01-18T06:00:00+01:00,223,2824,90,0,0,2691.0,0,223
2022-01-18T09:00:00+01:00,3260,1603,1996,65,0,274.0,22,1603
2022-01-18T12:00:00+01:00,2998,2038,1116,156,0.0,0.0,72,2038
2022-01-18T15:00:00+01:00,391,2392,8,1840,0,169.0,58,391
2022-01-18T18:00:00+01:00,0,2618,3,606,0,2015.0,4,0
2022-01-18T21:00:00+01:00,2,1860,6,0,0,1864.0,0,2
2022-01-19T00:00:00+01:00,2,3801,6,0,0,3805.0,0,2
2022-01-19T03:00:00+01:00,3,2996,6,0,0,2999.0,0,3
2022-01-19T06:00:00+01:00,231,2657,83,21,0,2488.0,0,231
2022-01-19T09:00:00+01:00,3378,1842,1887,138,0,213.0,18,1842
2022-01-19T12:00:00+01:00,2983,2655,824,461,0,35.0,63,2655
