timestamp,produced_energy,consumed_energy,battery_charged_energy,battery_discharged_energy,grid_feedin_energy,grid_purchase_energy
2023-01-01T00:00:00+01:00,16318,29607,10574,8794,127,15195
2023-01-02T00:00:00+01:00,6260,23686,2524,1935,126,18142
2023-01-03T00:00:00+01:00,1442,37477,321,5,34,36385
2023-01-04T00:00:00+01:00,2943,45747,10686,8213,43,45320
2023-01-05T00:00:00+01:00,3074,46162,9965,3101,20,49972
2023-01-06T00:00:00+01:00,13415,46138,6192,10693,111,28333
2023-01-07T00:00:00+01:00,16788,50310,8299,6623,116,35314
2023-01-08T00:00:00+01:00,1852,51903,162,6,6,50213
2023-01-09T00:00:00+01:00,4448,37967,1454,952,63,34084
2023-01-10T00:00:00+01:00,11527,46875,5588,4505,366,36797
2023-01-11T00:00:00+01:00,3348,45855,1167,758,51,42966
2023-01-12T00:00:00+01:00,2663,51534,931,344,33,49492
2023-01-13T00:00:00+01:00,2910,44346,408,32,25,41836
2023-01-14T00:00:00+01:00,10512,50532,4001,3071,111,41062
2023-01-15T00:00:00+01:00,1164,42942,182,17,17,41961
2023-01-16T00:00:00+01:00,6547,46097,2215,1578,79,40266
2023-01-17T00:00:00+01:00,3046,54500,854,425,77,51959
2023-01-18T00:00:00+01:00,4609,53446,1636,955,67,49586
2023-01-19T00:00:00+01:00,6839,60796,1488,994,133,54584
2023-01-20T00:00:00+01:00,3653,68405,863,465,25,65174
2023-01-21T00:00:00+01:00,4726,66494,678,300,51,62198
2023-01-22T00:00:00+01:00,6377,60131,2639,1961,76,54508
2023-01-23T00:00:00+01:00,6140,58388,579,248,28,52607
2023-01-24T00:00:00+01:00,13175,64761,4854,3901,92,52630
2023-01-25T00:00:00+01:00,4078,53284,1356,903,51,49709
2023-01-26T00:00:00+01:00,860,56280,425,0,0,55845
2023-01-27T00:00:00+01:00,2039,59898,492,1,8,58358
2023-01-28T00:00:00+01:00,3758,55512,1266,834,56,52242
2023-01-29T00:00:00+01:00,20083,61640,6121,4969,148,42857
2023-01-30T00:00:00+01:00,17021,56207,5092,4167,199,40311
2023-01-31T00:00:00+01:00,16040,49198,7692,6342,451,34958
2023-02-01T00:00:00+01:00,5667,47195,1664,1103,65,42155
2023-02-02T00:00:00+01:00,2088,41683,441,80,36,39992
2023-02-03T00:00:00+01:00,10980,45806,5878,4702,244,36246
2023-02-04T00:00:00+01:00,4069,46265,7628,1088,88,48823
2023-02-05T00:00:00+01:00,5351,53630,6213,10170,163,44486
2023-02-06T00:00:00+01:00,5840,49403,1346,718,45,44236
2023-02-07T00:00:00+01:00,24878,61072,11056,9049,603,38804
2023-02-08T00:00:00+01:00,21756,61486,8092,6720,235,41338
2023-02-09T00:00:00+01:00,24293,58471,11065,9436,788,36595
2023-02-10T00:00:00+01:00,25016,60259,11134,9230,1342,38488
2023-02-11T00:00:00+01:00,14026,56143,6036,4967,173,43359
2023-02-12T00:00:00+01:00,24793,53469,11202,9355,348,30871
2023-02-13T00:00:00+01:00,12770,49619,5209,3987,129,38200
2023-02-14T00:00:00+01:00,5709,54020,1711,1286,69,48807
2023-02-15T00:00:00+01:00,10944,58017,3649,2864,105,47963
2023-02-16T00:00:00+01:00,24339,47505,10668,8813,2939,27961
2023-02-17T00:00:00+01:00,5161,36701,1542,793,82,32372
2023-02-18T00:00:00+01:00,20026,38152,12095,10056,1224,21388
2023-02-19T00:00:00+01:00,7695,42519,3529,2757,351,35947
2023-02-20T00:00:00+01:00,23813,34417,9764,8228,5146,17285
2023-02-21T00:00:00+01:00,25107,38436,10349,7998,5490,21171
2023-02-22T00:00:00+01:00,19084,37713,10754,9293,1085,21175
2023-02-23T00:00:00+01:00,15298,26401,10933,8749,235,13522
2023-02-24T00:00:00+01:00,16531,31362,10353,8977,1872,18080
2023-02-25T00:00:00+01:00,1734,41154,487,0,33,39940
2023-02-26T00:00:00+01:00,16782,51291,7792,6350,984,36935
2023-02-27T00:00:00+01:00,12642,48666,4227,3411,137,36977
2023-02-28T00:00:00+01:00,14869,51121,6229,5155,727,38054
2023-03-01T00:00:00+01:00,7377,51609,1141,689,50,44735
2023-03-02T00:00:00+01:00,11384,47450,4431,3478,134,37153
2023-03-03T00:00:00+01:00,6556,45907,1525,1054,68,39890
2023-03-04T00:00:00+01:00,20270,53784,8163,6563,274,35387
2023-03-05T00:00:00+01:00,10981,42539,5602,4634,313,32839
2023-03-06T00:00:00+01:00,5344,46381,1235,830,76,41518
2023-03-07T00:00:00+01:00,15333,26154,8337,201,868,19824
