,Unnamed: 0,BFS_NR,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG,Unnamed: 11
0,,3251,Altstätten,Energie,Gasverbrauch,,570,Gasverbrauch Total [MWh],2013,32838.0,MWh,Megawattstunden,
1,1.0,3251,Altstätten,Energie,Gasverbrauch,,570,Gasverbrauch Total [MWh],2014,26909.0,MWh,Megawattstunden,
2,2.0,3251,Altstätten,Energie,Gasverbrauch,,570,Gasverbrauch Total [MWh],2015,27777.0,MWh,Megawattstunden,
3,3.0,3251,Altstätten,Energie,Gasverbrauch,,570,Gasverbrauch Total [MWh],2016,27936.0,MWh,Megawattstunden,
4,4.0,3251,Altstätten,Energie,Gasverbrauch,,570,Gasverbrauch Total [MWh],2017,30093.0,MWh,Megawattstunden,
5,5.0,3251,Altstätten,Energie,Gasverbrauch,,571,Gasverbrauch Haushalte [MWh],2013,25600.0,MWh,Megawattstunden,
6,6.0,3251,Altstätten,Energie,Gasverbrauch,,571,Gasverbrauch Haushalte [MWh],2014,22947.0,MWh,Megawattstunden,
7,7.0,3251,Altstätten,Energie,Gasverbrauch,,571,Gasverbrauch Haushalte [MWh],2015,23604.0,MWh,Megawattstunden,
8,8.0,3251,Altstätten,Energie,Gasverbrauch,,571,Gasverbrauch Haushalte [MWh],2016,24306.0,MWh,Megawattstunden,
9,9.0,3251,Altstätten,Energie,Gasverbrauch,,571,Gasverbrauch Haushalte [MWh],2017,26235.0,MWh,Megawattstunden,
10,10.0,3251,Altstätten,Energie,Gasverbrauch,,572,Gasverbrauch Gewerbe [MWh],2013,7238.0,MWh,Megawattstunden,
11,11.0,3251,Altstätten,Energie,Gasverbrauch,,572,Gasverbrauch Gewerbe [MWh],2014,3354.0,MWh,Megawattstunden,
12,12.0,3251,Altstätten,Energie,Gasverbrauch,,572,Gasverbrauch Gewerbe [MWh],2015,3404.0,MWh,Megawattstunden,
13,13.0,3251,Altstätten,Energie,Gasverbrauch,,572,Gasverbrauch Gewerbe [MWh],2016,3004.0,MWh,Megawattstunden,
14,14.0,3251,Altstätten,Energie,Gasverbrauch,,572,Gasverbrauch Gewerbe [MWh],2017,2984.0,MWh,Megawattstunden,
15,15.0,3251,Altstätten,Energie,Gasverbrauch,,573,Gasverbrauch Industrie [MWh],2013,,MWh,Megawattstunden,
16,16.0,3251,Altstätten,Energie,Gasverbrauch,,573,Gasverbrauch Industrie [MWh],2014,608.0,MWh,Megawattstunden,
17,17.0,3251,Altstätten,Energie,Gasverbrauch,,573,Gasverbrauch Industrie [MWh],2015,768.0,MWh,Megawattstunden,
18,18.0,3251,Altstätten,Energie,Gasverbrauch,,573,Gasverbrauch Industrie [MWh],2016,626.0,MWh,Megawattstunden,
19,19.0,3251,Altstätten,Energie,Gasverbrauch,,573,Gasverbrauch Industrie [MWh],2017,873.0,MWh,Megawattstunden,
20,20.0,3251,Altstätten,Energie,Stromverbrauch,,574,Stromverbrauch Total [MWh],2013,77874.0,MWh,Megawattstunden,
21,21.0,3251,Altstätten,Energie,Stromverbrauch,,574,Stromverbrauch Total [MWh],2014,75142.0,MWh,Megawattstunden,
22,22.0,3251,Altstätten,Energie,Stromverbrauch,,574,Stromverbrauch Total [MWh],2015,71173.0,MWh,Megawattstunden,
23,23.0,3251,Altstätten,Energie,Stromverbrauch,,574,Stromverbrauch Total [MWh],2016,72131.0,MWh,Megawattstunden,
24,24.0,3251,Altstätten,Energie,Stromverbrauch,,574,Stromverbrauch Total [MWh],2017,64626.0,MWh,Megawattstunden,
25,25.0,3251,Altstätten,Energie,Stromverbrauch,,575,Stromverbrauch Total [MWh/Energienutzer],2013,4.5,MWh/Energienutzer,Megawattstunden pro Energienutzer,
26,26.0,3251,Altstätten,Energie,Stromverbrauch,,575,Stromverbrauch Total [MWh/Energienutzer],2014,4.3,MWh/Energienutzer,Megawattstunden pro Energienutzer,
27,27.0,3251,Altstätten,Energie,Stromverbrauch,,575,Stromverbrauch Total [MWh/Energienutzer],2015,4.1,MWh/Energienutzer,Megawattstunden pro Energienutzer,
28,28.0,3251,Altstätten,Energie,Stromverbrauch,,575,Stromverbrauch Total [MWh/Energienutzer],2016,4.1,MWh/Energienutzer,Megawattstunden pro Energienutzer,
